selected_flags,tire_friction,gear_ratio,predicted_speed_ms,predicted_time,profile_summary
intersections_90,0.5,6.0,10.761050199926055,81.84010985913729,"Route Type: mixed, Length: 880.7m"
steep_elevation,3.0,6.0,24.34863168466881,35.93497425893304,"Route Type: elevation, Length: 875.0m"
high_speed_sections,1.0,6.0,21.048850731234023,43.65380712314349,"Route Type: straight_speed, Length: 918.9m"
tight_curves,0.5,6.0,10.432952720368704,88.22342266638671,"Route Type: tight_curves, Length: 920.4m"
long_straightaways,1.0,6.0,24.806771187113466,37.44390847881283,"Route Type: straight_speed, Length: 928.9m"
narrow_lanes,0.5,6.0,11.375123437378326,79.45957465525709,"Route Type: straight_speed, Length: 903.9m"
wide_multi_lane,0.5,6.0,13.438914511822707,67.2571039268065,"Route Type: straight_speed, Length: 903.9m"
"intersections_90, steep_elevation",3.0,6.0,21.139267025789387,41.39062398716929,"Route Type: elevation, Length: 875.0m"
"intersections_90, high_speed_sections",1.0,6.0,21.048850731234023,43.65380712314349,"Route Type: straight_speed, Length: 918.9m"
"intersections_90, tight_curves",0.5,6.0,10.432952720368704,88.22342266638671,"Route Type: tight_curves, Length: 920.4m"
"intersections_90, long_straightaways",1.0,6.0,24.806771187113466,37.44390847881283,"Route Type: straight_speed, Length: 928.9m"
"intersections_90, narrow_lanes",0.5,6.0,10.70929795725996,82.23559882976386,"Route Type: mixed, Length: 880.7m"
"intersections_90, wide_multi_lane",1.0,6.0,11.027590665838343,79.86200769038862,"Route Type: mixed, Length: 880.7m"
"steep_elevation, high_speed_sections",2.0,6.0,22.855875066736328,38.93823580283932,"Route Type: elevation, Length: 890.0m"
"steep_elevation, tight_curves",0.5,6.0,14.447854380225618,60.56037317391287,"Route Type: elevation, Length: 875.0m"
"steep_elevation, long_straightaways",0.5,6.0,25.001231958503453,35.99692424447576,"Route Type: elevation, Length: 900.0m"
"steep_elevation, narrow_lanes",3.0,6.0,23.93934307109088,36.54935100894329,"Route Type: elevation, Length: 875.0m"
"steep_elevation, wide_multi_lane",3.0,6.0,24.868586274143013,35.183642655978325,"Route Type: elevation, Length: 875.0m"
"high_speed_sections, tight_curves",2.0,6.0,9.971042815300464,92.15309642188504,"Route Type: straight_speed, Length: 918.9m"
"high_speed_sections, long_straightaways",1.0,6.0,24.73336242383214,37.622605497595764,"Route Type: straight_speed, Length: 930.5m"
"high_speed_sections, narrow_lanes",1.0,6.0,20.2698682342566,45.33144761307459,"Route Type: straight_speed, Length: 918.9m"
"high_speed_sections, wide_multi_lane",1.0,6.0,22.59445755009806,40.667604785277966,"Route Type: straight_speed, Length: 918.9m"
"tight_curves, long_straightaways",1.0,6.0,24.806771187113466,37.44390847881283,"Route Type: straight_speed, Length: 928.9m"
"tight_curves, narrow_lanes",0.5,6.0,10.3169275489161,89.21559186525623,"Route Type: tight_curves, Length: 920.4m"
"tight_curves, wide_multi_lane",0.5,6.0,10.615230850590375,86.70850502100258,"Route Type: tight_curves, Length: 920.4m"
"long_straightaways, narrow_lanes",1.0,6.0,24.172837304317788,38.42587687541391,"Route Type: straight_speed, Length: 928.9m"
"long_straightaways, wide_multi_lane",1.0,6.0,26.10421522640825,35.58285364753838,"Route Type: straight_speed, Length: 928.9m"
"narrow_lanes, wide_multi_lane",0.5,6.0,12.591788489699395,71.78189744248998,"Route Type: straight_speed, Length: 903.9m"
"intersections_90, steep_elevation, high_speed_sections",2.0,6.0,22.855875066736328,38.93823580283932,"Route Type: elevation, Length: 890.0m"
"intersections_90, steep_elevation, tight_curves",0.5,6.0,14.447854380225618,60.56037317391287,"Route Type: elevation, Length: 875.0m"
"intersections_90, steep_elevation, long_straightaways",0.5,6.0,25.001231958503453,35.99692424447576,"Route Type: elevation, Length: 900.0m"
"intersections_90, steep_elevation, narrow_lanes",3.0,6.0,20.72573038123451,42.216483411413485,"Route Type: elevation, Length: 875.0m"
"intersections_90, steep_elevation, wide_multi_lane",3.0,6.0,21.910754939618357,39.93324078700391,"Route Type: elevation, Length: 875.0m"
"intersections_90, high_speed_sections, tight_curves",2.0,6.0,9.971042815300464,92.15309642188504,"Route Type: straight_speed, Length: 918.9m"
"intersections_90, high_speed_sections, long_straightaways",1.0,6.0,24.73336242383214,37.622605497595764,"Route Type: straight_speed, Length: 930.5m"
"intersections_90, high_speed_sections, narrow_lanes",1.0,6.0,20.2698682342566,45.33144761307459,"Route Type: straight_speed, Length: 918.9m"
"intersections_90, high_speed_sections, wide_multi_lane",1.0,6.0,22.59445755009806,40.667604785277966,"Route Type: straight_speed, Length: 918.9m"
"intersections_90, tight_curves, long_straightaways",1.0,6.0,24.806771187113466,37.44390847881283,"Route Type: straight_speed, Length: 928.9m"
"intersections_90, tight_curves, narrow_lanes",0.5,6.0,10.3169275489161,89.21559186525623,"Route Type: tight_curves, Length: 920.4m"
"intersections_90, tight_curves, wide_multi_lane",0.5,6.0,10.615230850590375,86.70850502100258,"Route Type: tight_curves, Length: 920.4m"
"intersections_90, long_straightaways, narrow_lanes",1.0,6.0,24.172837304317788,38.42587687541391,"Route Type: straight_speed, Length: 928.9m"
"intersections_90, long_straightaways, wide_multi_lane",1.0,6.0,26.10421522640825,35.58285364753838,"Route Type: straight_speed, Length: 928.9m"
"intersections_90, narrow_lanes, wide_multi_lane",0.5,6.0,11.003141009829463,80.0394659829311,"Route Type: mixed, Length: 880.7m"
"steep_elevation, high_speed_sections, tight_curves",0.5,6.0,13.900646429712223,64.02345799735873,"Route Type: elevation, Length: 890.0m"
"steep_elevation, high_speed_sections, long_straightaways",0.5,6.0,24.883905598287875,36.76944719207459,"Route Type: elevation, Length: 915.0m"
"steep_elevation, high_speed_sections, narrow_lanes",3.0,6.0,22.36154145994712,39.799020761734184,"Route Type: elevation, Length: 890.0m"
"steep_elevation, high_speed_sections, wide_multi_lane",2.0,6.0,23.705022709559998,37.54341279200295,"Route Type: elevation, Length: 890.0m"
"steep_elevation, tight_curves, long_straightaways",0.5,6.0,25.001231958503453,35.99692424447576,"Route Type: elevation, Length: 900.0m"
"steep_elevation, tight_curves, narrow_lanes",0.5,6.0,13.739504683929486,63.68260522900999,"Route Type: elevation, Length: 875.0m"
"steep_elevation, tight_curves, wide_multi_lane",0.5,6.0,15.731901256024203,55.617400502928064,"Route Type: elevation, Length: 875.0m"
"steep_elevation, long_straightaways, narrow_lanes",3.0,6.0,24.618107253849367,36.557134289359034,"Route Type: elevation, Length: 900.0m"
"steep_elevation, long_straightaways, wide_multi_lane",0.5,6.0,25.985060525399142,34.634033349629505,"Route Type: elevation, Length: 900.0m"
"steep_elevation, narrow_lanes, wide_multi_lane",3.0,6.0,24.723004271615803,35.390822378061685,"Route Type: elevation, Length: 875.0m"
"high_speed_sections, tight_curves, long_straightaways",1.0,6.0,24.73336242383214,37.622605497595764,"Route Type: straight_speed, Length: 930.5m"
"high_speed_sections, tight_curves, narrow_lanes",2.0,6.0,9.864085612562823,93.15232106409049,"Route Type: straight_speed, Length: 918.9m"
"high_speed_sections, tight_curves, wide_multi_lane",1.0,4.0,10.191608434043717,90.15872969724676,"Route Type: straight_speed, Length: 918.9m"
"high_speed_sections, long_straightaways, narrow_lanes",1.0,6.0,24.09731259607316,38.61565613970302,"Route Type: straight_speed, Length: 930.5m"
"high_speed_sections, long_straightaways, wide_multi_lane",1.0,6.0,26.028691251847732,35.750300623925476,"Route Type: straight_speed, Length: 930.5m"
"high_speed_sections, narrow_lanes, wide_multi_lane",1.0,6.0,21.900795177871878,41.95566702132934,"Route Type: straight_speed, Length: 918.9m"
"tight_curves, long_straightaways, narrow_lanes",1.0,6.0,24.172837304317788,38.42587687541391,"Route Type: straight_speed, Length: 928.9m"
"tight_curves, long_straightaways, wide_multi_lane",1.0,6.0,26.10421522640825,35.58285364753838,"Route Type: straight_speed, Length: 928.9m"
"tight_curves, narrow_lanes, wide_multi_lane",0.5,6.0,10.516616920091447,87.52156748707678,"Route Type: tight_curves, Length: 920.4m"
"long_straightaways, narrow_lanes, wide_multi_lane",1.0,6.0,25.487434144339716,36.44393800979809,"Route Type: straight_speed, Length: 928.9m"
"intersections_90, steep_elevation, high_speed_sections, tight_curves",0.5,6.0,13.900646429712223,64.02345799735873,"Route Type: elevation, Length: 890.0m"
"intersections_90, steep_elevation, high_speed_sections, long_straightaways",0.5,6.0,24.883905598287875,36.76944719207459,"Route Type: elevation, Length: 915.0m"
"intersections_90, steep_elevation, high_speed_sections, narrow_lanes",3.0,6.0,22.36154145994712,39.799020761734184,"Route Type: elevation, Length: 890.0m"
"intersections_90, steep_elevation, high_speed_sections, wide_multi_lane",2.0,6.0,23.705022709559998,37.54341279200295,"Route Type: elevation, Length: 890.0m"
"intersections_90, steep_elevation, tight_curves, long_straightaways",0.5,6.0,25.001231958503453,35.99692424447576,"Route Type: elevation, Length: 900.0m"
"intersections_90, steep_elevation, tight_curves, narrow_lanes",0.5,6.0,13.739504683929486,63.68260522900999,"Route Type: elevation, Length: 875.0m"
"intersections_90, steep_elevation, tight_curves, wide_multi_lane",0.5,6.0,15.731901256024203,55.617400502928064,"Route Type: elevation, Length: 875.0m"
"intersections_90, steep_elevation, long_straightaways, narrow_lanes",3.0,6.0,24.618107253849367,36.557134289359034,"Route Type: elevation, Length: 900.0m"
"intersections_90, steep_elevation, long_straightaways, wide_multi_lane",0.5,6.0,25.985060525399142,34.634033349629505,"Route Type: elevation, Length: 900.0m"
"intersections_90, steep_elevation, narrow_lanes, wide_multi_lane",3.0,6.0,21.49351245664127,40.70844421515011,"Route Type: elevation, Length: 875.0m"
"intersections_90, high_speed_sections, tight_curves, long_straightaways",1.0,6.0,24.73336242383214,37.622605497595764,"Route Type: straight_speed, Length: 930.5m"
"intersections_90, high_speed_sections, tight_curves, narrow_lanes",2.0,6.0,9.864085612562823,93.15232106409049,"Route Type: straight_speed, Length: 918.9m"
"intersections_90, high_speed_sections, tight_curves, wide_multi_lane",1.0,4.0,10.191608434043717,90.15872969724676,"Route Type: straight_speed, Length: 918.9m"
"intersections_90, high_speed_sections, long_straightaways, narrow_lanes",1.0,6.0,24.09731259607316,38.61565613970302,"Route Type: straight_speed, Length: 930.5m"
"intersections_90, high_speed_sections, long_straightaways, wide_multi_lane",1.0,6.0,26.028691251847732,35.750300623925476,"Route Type: straight_speed, Length: 930.5m"
"intersections_90, high_speed_sections, narrow_lanes, wide_multi_lane",1.0,6.0,21.900795177871878,41.95566702132934,"Route Type: straight_speed, Length: 918.9m"
"intersections_90, tight_curves, long_straightaways, narrow_lanes",1.0,6.0,24.172837304317788,38.42587687541391,"Route Type: straight_speed, Length: 928.9m"
"intersections_90, tight_curves, long_straightaways, wide_multi_lane",1.0,6.0,26.10421522640825,35.58285364753838,"Route Type: straight_speed, Length: 928.9m"
"intersections_90, tight_curves, narrow_lanes, wide_multi_lane",0.5,6.0,10.516616920091447,87.52156748707678,"Route Type: tight_curves, Length: 920.4m"
"intersections_90, long_straightaways, narrow_lanes, wide_multi_lane",1.0,6.0,25.487434144339716,36.44393800979809,"Route Type: straight_speed, Length: 928.9m"
"steep_elevation, high_speed_sections, tight_curves, long_straightaways",0.5,6.0,24.883905598287875,36.76944719207459,"Route Type: elevation, Length: 915.0m"
"steep_elevation, high_speed_sections, tight_curves, narrow_lanes",0.5,6.0,13.230892506828193,67.2643551725268,"Route Type: elevation, Length: 890.0m"
"steep_elevation, high_speed_sections, tight_curves, wide_multi_lane",0.5,6.0,15.279608665645709,58.245434965215814,"Route Type: elevation, Length: 890.0m"
"steep_elevation, high_speed_sections, long_straightaways, narrow_lanes",3.0,6.0,24.457042315621536,37.41120618842756,"Route Type: elevation, Length: 915.0m"
"steep_elevation, high_speed_sections, long_straightaways, wide_multi_lane",0.5,6.0,25.87601819243067,35.35966956061517,"Route Type: elevation, Length: 915.0m"
"steep_elevation, high_speed_sections, narrow_lanes, wide_multi_lane",3.0,6.0,23.275157925213744,38.236795457560454,"Route Type: elevation, Length: 890.0m"
"steep_elevation, tight_curves, long_straightaways, narrow_lanes",3.0,6.0,24.618107253849367,36.557134289359034,"Route Type: elevation, Length: 900.0m"
"steep_elevation, tight_curves, long_straightaways, wide_multi_lane",0.5,6.0,25.985060525399142,34.634033349629505,"Route Type: elevation, Length: 900.0m"
"steep_elevation, tight_curves, narrow_lanes, wide_multi_lane",0.5,6.0,15.187149611116668,57.61235486798376,"Route Type: elevation, Length: 875.0m"
"steep_elevation, long_straightaways, narrow_lanes, wide_multi_lane",0.5,6.0,25.45950058935086,35.3489829727945,"Route Type: elevation, Length: 900.0m"
"high_speed_sections, tight_curves, long_straightaways, narrow_lanes",1.0,6.0,24.09731259607316,38.61565613970302,"Route Type: straight_speed, Length: 930.5m"
"high_speed_sections, tight_curves, long_straightaways, wide_multi_lane",1.0,6.0,26.028691251847732,35.750300623925476,"Route Type: straight_speed, Length: 930.5m"
"high_speed_sections, tight_curves, narrow_lanes, wide_multi_lane",2.0,6.0,10.09384832842379,91.03192757490275,"Route Type: straight_speed, Length: 918.9m"
"high_speed_sections, long_straightaways, narrow_lanes, wide_multi_lane",1.0,6.0,25.411910169779194,36.61800828367169,"Route Type: straight_speed, Length: 930.5m"
"tight_curves, long_straightaways, narrow_lanes, wide_multi_lane",1.0,6.0,25.487434144339716,36.44393800979809,"Route Type: straight_speed, Length: 928.9m"
"intersections_90, steep_elevation, high_speed_sections, tight_curves, long_straightaways",0.5,6.0,24.883905598287875,36.76944719207459,"Route Type: elevation, Length: 915.0m"
"intersections_90, steep_elevation, high_speed_sections, tight_curves, narrow_lanes",0.5,6.0,13.230892506828193,67.2643551725268,"Route Type: elevation, Length: 890.0m"
"intersections_90, steep_elevation, high_speed_sections, tight_curves, wide_multi_lane",0.5,6.0,15.279608665645709,58.245434965215814,"Route Type: elevation, Length: 890.0m"
"intersections_90, steep_elevation, high_speed_sections, long_straightaways, narrow_lanes",3.0,6.0,24.457042315621536,37.41120618842756,"Route Type: elevation, Length: 915.0m"
"intersections_90, steep_elevation, high_speed_sections, long_straightaways, wide_multi_lane",0.5,6.0,25.87601819243067,35.35966956061517,"Route Type: elevation, Length: 915.0m"
"intersections_90, steep_elevation, high_speed_sections, narrow_lanes, wide_multi_lane",3.0,6.0,23.275157925213744,38.236795457560454,"Route Type: elevation, Length: 890.0m"
"intersections_90, steep_elevation, tight_curves, long_straightaways, narrow_lanes",3.0,6.0,24.618107253849367,36.557134289359034,"Route Type: elevation, Length: 900.0m"
"intersections_90, steep_elevation, tight_curves, long_straightaways, wide_multi_lane",0.5,6.0,25.985060525399142,34.634033349629505,"Route Type: elevation, Length: 900.0m"
"intersections_90, steep_elevation, tight_curves, narrow_lanes, wide_multi_lane",0.5,6.0,15.187149611116668,57.61235486798376,"Route Type: elevation, Length: 875.0m"
"intersections_90, steep_elevation, long_straightaways, narrow_lanes, wide_multi_lane",0.5,6.0,25.45950058935086,35.3489829727945,"Route Type: elevation, Length: 900.0m"
"intersections_90, high_speed_sections, tight_curves, long_straightaways, narrow_lanes",1.0,6.0,24.09731259607316,38.61565613970302,"Route Type: straight_speed, Length: 930.5m"
"intersections_90, high_speed_sections, tight_curves, long_straightaways, wide_multi_lane",1.0,6.0,26.028691251847732,35.750300623925476,"Route Type: straight_speed, Length: 930.5m"
"intersections_90, high_speed_sections, tight_curves, narrow_lanes, wide_multi_lane",2.0,6.0,10.09384832842379,91.03192757490275,"Route Type: straight_speed, Length: 918.9m"
"intersections_90, high_speed_sections, long_straightaways, narrow_lanes, wide_multi_lane",1.0,6.0,25.411910169779194,36.61800828367169,"Route Type: straight_speed, Length: 930.5m"
"intersections_90, tight_curves, long_straightaways, narrow_lanes, wide_multi_lane",1.0,6.0,25.487434144339716,36.44393800979809,"Route Type: straight_speed, Length: 928.9m"
"steep_elevation, high_speed_sections, tight_curves, long_straightaways, narrow_lanes",3.0,6.0,24.457042315621536,37.41120618842756,"Route Type: elevation, Length: 915.0m"
"steep_elevation, high_speed_sections, tight_curves, long_straightaways, wide_multi_lane",0.5,6.0,25.87601819243067,35.35966956061517,"Route Type: elevation, Length: 915.0m"
"steep_elevation, high_speed_sections, tight_curves, narrow_lanes, wide_multi_lane",0.5,6.0,14.66373680160622,60.69172304915694,"Route Type: elevation, Length: 890.0m"
"steep_elevation, high_speed_sections, long_straightaways, narrow_lanes, wide_multi_lane",0.5,6.0,25.412266740254978,36.00495233978622,"Route Type: elevation, Length: 915.0m"
"steep_elevation, tight_curves, long_straightaways, narrow_lanes, wide_multi_lane",0.5,6.0,25.45950058935086,35.3489829727945,"Route Type: elevation, Length: 900.0m"
"high_speed_sections, tight_curves, long_straightaways, narrow_lanes, wide_multi_lane",1.0,6.0,25.411910169779194,36.61800828367169,"Route Type: straight_speed, Length: 930.5m"
"intersections_90, steep_elevation, high_speed_sections, tight_curves, long_straightaways, narrow_lanes",3.0,6.0,24.457042315621536,37.41120618842756,"Route Type: elevation, Length: 915.0m"
"intersections_90, steep_elevation, high_speed_sections, tight_curves, long_straightaways, wide_multi_lane",0.5,6.0,25.87601819243067,35.35966956061517,"Route Type: elevation, Length: 915.0m"
"intersections_90, steep_elevation, high_speed_sections, tight_curves, narrow_lanes, wide_multi_lane",0.5,6.0,14.66373680160622,60.69172304915694,"Route Type: elevation, Length: 890.0m"
"intersections_90, steep_elevation, high_speed_sections, long_straightaways, narrow_lanes, wide_multi_lane",0.5,6.0,25.412266740254978,36.00495233978622,"Route Type: elevation, Length: 915.0m"
"intersections_90, steep_elevation, tight_curves, long_straightaways, narrow_lanes, wide_multi_lane",0.5,6.0,25.45950058935086,35.3489829727945,"Route Type: elevation, Length: 900.0m"
"intersections_90, high_speed_sections, tight_curves, long_straightaways, narrow_lanes, wide_multi_lane",1.0,6.0,25.411910169779194,36.61800828367169,"Route Type: straight_speed, Length: 930.5m"
"steep_elevation, high_speed_sections, tight_curves, long_straightaways, narrow_lanes, wide_multi_lane",0.5,6.0,25.412266740254978,36.00495233978622,"Route Type: elevation, Length: 915.0m"
"intersections_90, steep_elevation, high_speed_sections, tight_curves, long_straightaways, narrow_lanes, wide_multi_lane",0.5,6.0,25.412266740254978,36.00495233978622,"Route Type: elevation, Length: 915.0m"
